lab,age_group,method,d_z,n,d_z_var,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
kyotobabylab,9-12 mo,eyetracking,NA,NA,NA,299.09554140127386,1,japanese,98.64968152866243,NA,0,0,0.05732484076433121,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
kyotobabylab,12-15 mo,eyetracking,NA,NA,NA,371.57142857142856,1,japanese,99.60714285714286,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
labunam,12-15 mo,eyetracking,NA,NA,NA,404.900826446281,1,spanish,99.50413223140495,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
labunam,3-6 mo,eyetracking,NA,NA,NA,96,1,spanish,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
labunam,9-12 mo,eyetracking,NA,NA,NA,327.37142857142857,1,spanish,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
labunam,6-9 mo,eyetracking,NA,NA,NA,221.96575342465752,1,spanish,99.38356164383562,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lancaster,12-15 mo,singlescreen,NA,NA,NA,409,1,english,100,NA,0,0.0860655737704918,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla,6-9 mo,hpp,NA,NA,NA,225,1,english,98.5,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla,12-15 mo,hpp,NA,NA,NA,454.76190476190476,0.38095238095238093,english,66.76190476190476,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
lcdfsu,12-15 mo,eyetracking,NA,NA,NA,425.8313253012048,1,english,100,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lcdfsu,9-12 mo,eyetracking,NA,NA,NA,319.3888888888889,1,english,100,NA,0.06172839506172839,0.05555555555555555,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lcduleeds,12-15 mo,eyetracking,NA,NA,NA,413.531746031746,1,english,99.96825396825396,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,9-12 mo,singlescreen,NA,NA,NA,315.23870967741937,1,english,99.26451612903226,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,3-6 mo,singlescreen,NA,NA,NA,147.35766423357666,1,english,99.12408759124088,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,6-9 mo,singlescreen,NA,NA,NA,241.10493827160494,1,english,99.32098765432099,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,12-15 mo,singlescreen,NA,NA,NA,414.88235294117646,1,english,99.68235294117648,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lllliv,12-15 mo,eyetracking,NA,NA,NA,399.25333333333333,1,english,99.92666666666666,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lllliv,9-12 mo,eyetracking,NA,NA,NA,292.6666666666667,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lllliv,6-9 mo,eyetracking,NA,NA,NA,225.11731843575419,1,english,99.3072625698324,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lppparisdescartes2,6-9 mo,hpp,NA,NA,NA,241.6,1,french,98.65573770491804,NA,0.05901639344262295,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
lscppsl,12-15 mo,eyetracking,NA,NA,NA,401.6776859504132,1,french,98.14876033057851,NA,0.06611570247933884,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
madlabucsd,6-9 mo,singlescreen,NA,NA,NA,234.85882352941175,1,english,99.81176470588235,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
minddevlabbicocca,6-9 mo,singlescreen,NA,NA,NA,193.41176470588235,1,italian,98.82352941176471,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
minddevlabbicocca,3-6 mo,singlescreen,NA,NA,NA,144.75,1,italian,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
musdevutm,9-12 mo,hpp,NA,NA,NA,283,1,english,100,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
nusinfantlanguagecentre,12-15 mo,eyetracking,NA,NA,NA,429.4492753623188,1,english,95.79710144927536,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
nusinfantlanguagecentre,6-9 mo,eyetracking,NA,NA,NA,251.4179104477612,1,english,95.4776119402985,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
nusinfantlanguagecentre,6-9 mo,singlescreen,NA,NA,NA,251.4179104477612,1,english,95.4776119402985,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
nusinfantlanguagecentre,9-12 mo,eyetracking,NA,NA,NA,278,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
purdueinfantspeech,6-9 mo,hpp,NA,NA,NA,273,1,english,100,0,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
socialcogumiami,3-6 mo,eyetracking,NA,NA,NA,135.6068376068376,1,english,95.76923076923077,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
wsigoettingen,12-15 mo,singlescreen,NA,NA,NA,411.93939393939394,1,german,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
